Tingkat Pengangguran (Persen);Jumlah Tindak Pidana 
6.17;7483.00
5.39;30831.00
5.38;11064.00
5.76;6570.00
4.06;6848.00
4.53;12861.00
3.26;3453.00
4.03;8534.00
3.58;1953.00
7.50;3159.00
6.54;31934.00
8.04;13145.00
4.44;10317.00
3.18;6650.00
3.82;26985.00
8.11;3287.00
1.57;3047.00
3.28;8185.00
3.14;5865.00
4.35;4721.00
4.04;2444.00
4.18;5375.00
5.94;4417.00
4.49;876.00
6.01;7425.00
3.11;6265.00
4.62;16008.00
3.52;1213.00
3.76;2367.00
2.98;1863.00
6.69;3495.00
4.81;718.00
6.43;2972.00
3.51;6994.00
